epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.663,1.70035,1.62399,1.42256,0.02502,0.15797,0.00921,0.00492,2.52938,87.5019,39.975,0.0006639,0.0006639,0.0006639
2,195.793,1.73829,1.4782,1.43066,0.4659,0.48168,0.34722,0.20085,1.62823,2.12633,1.4442,0.00131739,0.00131739,0.00131739
3,288.173,1.71358,1.42104,1.40921,0.41799,0.41346,0.34083,0.18127,1.69124,1.78222,1.52959,0.00195769,0.00195769,0.00195769
4,376.81,1.65397,1.34816,1.38796,0.49337,0.52704,0.47415,0.2817,1.48011,1.62674,1.38308,0.0019406,0.0019406,0.0019406
5,465.622,1.60688,1.26454,1.34769,0.49228,0.51409,0.43135,0.24547,1.62123,1.60818,1.4607,0.0019208,0.0019208,0.0019208
6,555.612,1.54954,1.18859,1.3153,0.32968,0.50737,0.30815,0.18906,1.51757,2.13775,1.38309,0.001901,0.001901,0.001901
7,642.797,1.52237,1.15977,1.2904,0.53876,0.53022,0.50345,0.32313,1.35576,1.26144,1.29205,0.0018812,0.0018812,0.0018812
8,729.582,1.49087,1.08357,1.26938,0.54071,0.55631,0.47789,0.28013,1.47388,1.3861,1.32999,0.0018614,0.0018614,0.0018614
9,819.549,1.46211,1.04471,1.25016,0.49397,0.53297,0.49219,0.30848,1.40385,1.35011,1.3323,0.0018416,0.0018416,0.0018416
10,907.06,1.45951,1.03276,1.24773,0.53091,0.56044,0.51217,0.30461,1.42726,1.38096,1.34378,0.0018218,0.0018218,0.0018218
11,993.327,1.4305,1.00921,1.233,0.5738,0.60659,0.52629,0.32352,1.36541,1.27377,1.28955,0.001802,0.001802,0.001802
12,1080.17,1.40826,0.98715,1.22594,0.58714,0.61676,0.58207,0.37142,1.31049,1.19889,1.27404,0.0017822,0.0017822,0.0017822
13,1170.43,1.39542,0.95818,1.21847,0.59863,0.60302,0.56135,0.36669,1.27545,1.16922,1.25699,0.0017624,0.0017624,0.0017624
14,1258.29,1.39112,0.92725,1.21409,0.55514,0.59753,0.5331,0.34636,1.34161,1.25565,1.29793,0.0017426,0.0017426,0.0017426
15,1343.38,1.3774,0.91957,1.2002,0.55864,0.57375,0.52824,0.34118,1.3145,1.23669,1.25339,0.0017228,0.0017228,0.0017228
16,1429.66,1.35892,0.90045,1.19568,0.55071,0.62637,0.54187,0.35152,1.30918,1.18944,1.27887,0.001703,0.001703,0.001703
17,1520.52,1.34988,0.891,1.1858,0.55827,0.50962,0.49816,0.32096,1.30286,1.40702,1.30226,0.0016832,0.0016832,0.0016832
18,1607.26,1.34086,0.87061,1.17908,0.55885,0.64211,0.5756,0.3735,1.25492,1.1413,1.23413,0.0016634,0.0016634,0.0016634
19,1695.16,1.33089,0.85904,1.17154,0.57856,0.61264,0.52216,0.32494,1.32063,1.23938,1.27881,0.0016436,0.0016436,0.0016436
20,1779.81,1.31754,0.83214,1.16914,0.54399,0.59203,0.49879,0.31821,1.28713,1.2295,1.25889,0.0016238,0.0016238,0.0016238
21,1868.69,1.31089,0.83105,1.15921,0.59241,0.58654,0.53946,0.34766,1.289,1.1669,1.27288,0.001604,0.001604,0.001604
22,1955.97,1.29054,0.81742,1.15643,0.58792,0.64011,0.56712,0.37446,1.22935,1.19181,1.24285,0.0015842,0.0015842,0.0015842
23,2043.62,1.28382,0.79202,1.14633,0.58808,0.62637,0.54776,0.36003,1.23816,1.18167,1.24444,0.0015644,0.0015644,0.0015644
24,2127.94,1.27191,0.78594,1.13724,0.58206,0.6511,0.59349,0.38663,1.23737,1.13305,1.22749,0.0015446,0.0015446,0.0015446
25,2218.7,1.26897,0.78583,1.14373,0.58407,0.63324,0.55968,0.36003,1.27963,1.15718,1.25313,0.0015248,0.0015248,0.0015248
26,2305.08,1.26014,0.77956,1.13441,0.54807,0.64468,0.54492,0.34663,1.25079,1.14394,1.22377,0.001505,0.001505,0.001505
27,2390.6,1.25976,0.76702,1.13123,0.57447,0.63462,0.56845,0.37521,1.22991,1.12957,1.22264,0.0014852,0.0014852,0.0014852
28,2476.22,1.26246,0.76809,1.1283,0.52158,0.62447,0.53112,0.34163,1.27024,1.21361,1.24739,0.0014654,0.0014654,0.0014654
29,2565.95,1.24679,0.75011,1.12256,0.59303,0.60165,0.56399,0.36616,1.2522,1.22168,1.23199,0.0014456,0.0014456,0.0014456
30,2652.36,1.24559,0.74854,1.12521,0.59418,0.6094,0.56519,0.36936,1.26106,1.16385,1.24807,0.0014258,0.0014258,0.0014258
31,2737.61,1.22072,0.7403,1.11832,0.5566,0.64286,0.58267,0.37429,1.24062,1.18677,1.24147,0.001406,0.001406,0.001406
32,2823.02,1.23301,0.73653,1.12039,0.60618,0.6456,0.57338,0.38236,1.20708,1.15913,1.22397,0.0013862,0.0013862,0.0013862
33,2912.21,1.20921,0.72116,1.10781,0.58749,0.63324,0.56565,0.36637,1.29445,1.20347,1.27538,0.0013664,0.0013664,0.0013664
34,3000.07,1.20291,0.71314,1.10404,0.57085,0.62489,0.55389,0.37211,1.22758,1.11614,1.22879,0.0013466,0.0013466,0.0013466
35,3085.48,1.19606,0.69724,1.09615,0.58807,0.62775,0.5784,0.38919,1.21611,1.18121,1.23856,0.0013268,0.0013268,0.0013268
36,3172.79,1.20188,0.69788,1.10327,0.54862,0.65797,0.57246,0.37984,1.2054,1.17119,1.22742,0.001307,0.001307,0.001307
37,3262.25,1.20245,0.69672,1.10935,0.58507,0.65522,0.58722,0.38725,1.22602,1.17737,1.21881,0.0012872,0.0012872,0.0012872
38,3349.73,1.17795,0.6883,1.08916,0.58729,0.62225,0.5762,0.37796,1.23155,1.1282,1.24786,0.0012674,0.0012674,0.0012674
39,3434.88,1.17904,0.68832,1.09241,0.6044,0.61126,0.5772,0.38445,1.22743,1.21778,1.25609,0.0012476,0.0012476,0.0012476
40,3520.57,1.17773,0.67741,1.09242,0.5773,0.67033,0.56887,0.37328,1.22056,1.14775,1.24972,0.0012278,0.0012278,0.0012278
41,3611.51,1.15662,0.67378,1.08431,0.61395,0.61166,0.57379,0.37618,1.21424,1.19785,1.2364,0.001208,0.001208,0.001208
42,3699.2,1.16977,0.66399,1.08712,0.6003,0.65797,0.57645,0.37955,1.23803,1.18207,1.2348,0.0011882,0.0011882,0.0011882
